source,label,date
Donald Trump,2.0,2020-10-02
Joe Biden,3.0,2020-10-02
Joe Biden,4.0,2020-10-01
Donald Trump,3.0,2020-10-01
Joe Biden,4.0,2020-10-01
Donald Trump,0.0,2020-10-01
Donald Trump,1.0,2020-10-01
Joe Biden,3.0,2020-10-01
Donald Trump,1.0,2020-10-01
Donald Trump,4.0,2020-10-01
Donald Trump,1.0,2020-09-30
Donald Trump,1.0,2020-09-30
Joe Biden,2.0,2020-09-30
Donald Trump,1.0,2020-09-30
Joe Biden,3.0,2020-09-29
Donald Trump,1.0,2020-09-28
Joe Biden,4.0,2020-09-28
Donald Trump,1.0,2020-09-25
Donald Trump,2.0,2020-09-24
Joe Biden,3.0,2020-09-24
Joe Biden,3.0,2020-09-23
Donald Trump,2.0,2020-09-22
Joe Biden,1.0,2020-09-22
Joe Biden,1.0,2020-09-21
Joe Biden,1.0,2020-09-18
Joe Biden,0.0,2020-09-18
Joe Biden,5.0,2020-09-17
Donald Trump,0.0,2020-09-16
Joe Biden,3.0,2020-09-14
Donald Trump,1.0,2020-09-11
Donald Trump,0.0,2020-09-11
Joe Biden,3.0,2020-09-11
Donald Trump,0.0,2020-09-11
Joe Biden,1.0,2020-09-10
Joe Biden,2.0,2020-09-10
Donald Trump,2.0,2020-09-10
Donald Trump,3.0,2020-09-09
Joe Biden,2.0,2020-09-04
Donald Trump,0.0,2020-09-04
Joe Biden,2.0,2020-09-04
Joe Biden,1.0,2020-09-04
Donald Trump,1.0,2020-09-03
Donald Trump,0.0,2020-09-03
Joe Biden,3.0,2020-09-03
Joe Biden,4.0,2020-09-02
Donald Trump,1.0,2020-09-01
Donald Trump,1.0,2020-09-01
Joe Biden,4.0,2020-09-01
Donald Trump,0.0,2020-09-01
Donald Trump,1.0,2020-08-29
Donald Trump,0.0,2020-08-29
Donald Trump,1.0,2020-08-28
Joe Biden,4.0,2020-08-25
Donald Trump,0.0,2020-08-24
Donald Trump,1.0,2020-08-20
Donald Trump,2.0,2020-08-19
Donald Trump,1.0,2020-08-18
Donald Trump,1.0,2020-08-18
Donald Trump,1.0,2020-08-18
Donald Trump,3.0,2020-08-17
Donald Trump,2.0,2020-08-15
Donald Trump,1.0,2020-08-13
Joe Biden,4.0,2020-08-12
Joe Biden,4.0,2020-08-11
Donald Trump,1.0,2020-08-06
Donald Trump,1.0,2020-08-05
Donald Trump,2.0,2020-08-03
Donald Trump,1.0,2020-07-31
Joe Biden,1.0,2020-07-28
Joe Biden,5.0,2020-07-28
Joe Biden,1.0,2020-07-27
Joe Biden,4.0,2020-07-24
Donald Trump,2.0,2020-07-24
Donald Trump,5.0,2020-07-24
Joe Biden,4.0,2020-07-22
Donald Trump,1.0,2020-07-20
Donald Trump,2.0,2020-07-17
Donald Trump,1.0,2020-07-17
Donald Trump,1.0,2020-07-17
Donald Trump,0.0,2020-07-17
Joe Biden,2.0,2020-07-11
Joe Biden,4.0,2020-07-10
Donald Trump,1.0,2020-07-06
Joe Biden,4.0,2020-07-06
Joe Biden,4.0,2020-06-30
Joe Biden,1.0,2020-06-29
Donald Trump,4.0,2020-06-24
Donald Trump,1.0,2020-06-24
Donald Trump,1.0,2020-06-23
Donald Trump,0.0,2020-06-19
Donald Trump,0.0,2020-06-18
Donald Trump,1.0,2020-06-18
Donald Trump,0.0,2020-06-17
Joe Biden,5.0,2020-06-11
Donald Trump,1.0,2020-06-09
Donald Trump,1.0,2020-06-09
Donald Trump,0.0,2020-06-04
Donald Trump,0.0,2020-06-01
Joe Biden,4.0,2020-06-01
Joe Biden,1.0,2020-06-01
Donald Trump,3.0,2020-05-28
Donald Trump,0.0,2020-05-27
Donald Trump,0.0,2020-05-27
Donald Trump,0.0,2020-05-26
Donald Trump,0.0,2020-05-26
Joe Biden,2.0,2020-05-26
Donald Trump,4.0,2020-05-22
Joe Biden,3.0,2020-05-21
Donald Trump,3.0,2020-05-20
Donald Trump,3.0,2020-05-20
Donald Trump,0.0,2020-05-20
Donald Trump,1.0,2020-05-20
Donald Trump,3.0,2020-05-18
Donald Trump,1.0,2020-05-13
Donald Trump,1.0,2020-05-06
Donald Trump,1.0,2020-05-04
Donald Trump,0.0,2020-04-30
Donald Trump,3.0,2020-04-29
Donald Trump,2.0,2020-04-23
Joe Biden,3.0,2020-04-23
Joe Biden,5.0,2020-04-22
Donald Trump,3.0,2020-04-17
Donald Trump,1.0,2020-04-16
Donald Trump,0.0,2020-04-14
Donald Trump,1.0,2020-04-13
Joe Biden,3.0,2020-04-13
Donald Trump,1.0,2020-04-09
Donald Trump,2.0,2020-04-09
Donald Trump,0.0,2020-04-08
Donald Trump,2.0,2020-04-08
Donald Trump,0.0,2020-04-06
Donald Trump,0.0,2020-04-06
Joe Biden,2.0,2020-04-03
Donald Trump,0.0,2020-03-31
Donald Trump,0.0,2020-03-30
Donald Trump,2.0,2020-03-27
Donald Trump,1.0,2020-03-25
Donald Trump,1.0,2020-03-25
Donald Trump,4.0,2020-03-24
Donald Trump,3.0,2020-03-19
Donald Trump,0.0,2020-03-19
Donald Trump,0.0,2020-03-18
Joe Biden,1.0,2020-03-18
Donald Trump,1.0,2020-03-17
Joe Biden,2.0,2020-03-16
Joe Biden,3.0,2020-03-16
Joe Biden,1.0,2020-03-15
Donald Trump,2.0,2020-03-15
Donald Trump,4.0,2020-03-13
Joe Biden,3.0,2020-03-13
Donald Trump,1.0,2020-03-12
Donald Trump,0.0,2020-03-11
Donald Trump,3.0,2020-03-11
Donald Trump,2.0,2020-03-09
Joe Biden,4.0,2020-03-09
Donald Trump,1.0,2020-03-06
Donald Trump,1.0,2020-03-06
Joe Biden,5.0,2020-03-05
Joe Biden,0.0,2020-03-04
Donald Trump,1.0,2020-03-02
Joe Biden,2.0,2020-02-27
Joe Biden,5.0,2020-02-20
Joe Biden,1.0,2020-02-13
Donald Trump,2.0,2020-02-11
Donald Trump,2.0,2020-02-10
Donald Trump,0.0,2020-02-07
Donald Trump,4.0,2020-02-07
Donald Trump,3.0,2020-02-06
Donald Trump,1.0,2020-02-06
Donald Trump,1.0,2020-02-06
Donald Trump,3.0,2020-02-05
Donald Trump,2.0,2020-02-05
Donald Trump,3.0,2020-02-05
Donald Trump,2.0,2020-02-05
Donald Trump,3.0,2020-02-03
Donald Trump,3.0,2020-02-03
Donald Trump,1.0,2020-01-27
Donald Trump,4.0,2020-01-16
Donald Trump,0.0,2020-01-15
Donald Trump,2.0,2020-01-10
Joe Biden,2.0,2020-01-06
Joe Biden,4.0,2019-12-20
Joe Biden,2.0,2019-12-18
Joe Biden,5.0,2019-12-18
Joe Biden,2.0,2019-12-16
Donald Trump,1.0,2019-12-05
Joe Biden,2.0,2019-11-26
Donald Trump,1.0,2019-11-21
Joe Biden,3.0,2019-11-21
Donald Trump,1.0,2019-11-19
Donald Trump,1.0,2019-11-19
Donald Trump,0.0,2019-11-15
Donald Trump,1.0,2019-11-14
Donald Trump,1.0,2019-11-13
Donald Trump,4.0,2019-11-07
Donald Trump,2.0,2019-11-06
Donald Trump,1.0,2019-10-31
Joe Biden,4.0,2019-10-30
Donald Trump,0.0,2019-10-29
Donald Trump,2.0,2019-10-28
Donald Trump,0.0,2019-10-25
Donald Trump,1.0,2019-10-16
Joe Biden,2.0,2019-10-16
Donald Trump,1.0,2019-10-11
Donald Trump,1.0,2019-10-10
Donald Trump,0.0,2019-10-09
Donald Trump,1.0,2019-10-08
Donald Trump,5.0,2019-10-08
Joe Biden,4.0,2019-10-04
Donald Trump,5.0,2019-10-02
Donald Trump,1.0,2019-10-01
Donald Trump,3.0,2019-09-27
Donald Trump,1.0,2019-09-26
Donald Trump,3.0,2019-09-25
Donald Trump,2.0,2019-09-25
Donald Trump,0.0,2019-09-19
Joe Biden,3.0,2019-09-18
Donald Trump,3.0,2019-09-13
Joe Biden,1.0,2019-09-13
Joe Biden,2.0,2019-09-12
Donald Trump,2.0,2019-09-10
Donald Trump,0.0,2019-09-05
Joe Biden,1.0,2019-09-05
Joe Biden,2.0,2019-09-04
Donald Trump,4.0,2019-09-04
Donald Trump,2.0,2019-08-30
Donald Trump,2.0,2019-08-27
Donald Trump,2.0,2019-08-27
Joe Biden,2.0,2019-08-27
Donald Trump,1.0,2019-08-22
Donald Trump,1.0,2019-08-19
Donald Trump,1.0,2019-08-16
Donald Trump,2.0,2019-08-16
Donald Trump,2.0,2019-08-15
Joe Biden,1.0,2019-08-09
Donald Trump,1.0,2019-08-09
Donald Trump,3.0,2019-08-08
Donald Trump,4.0,2019-08-05
Donald Trump,3.0,2019-08-02
Donald Trump,1.0,2019-08-02
Joe Biden,4.0,2019-08-02
Donald Trump,1.0,2019-08-02
Donald Trump,2.0,2019-08-01
Donald Trump,1.0,2019-07-23
Donald Trump,1.0,2019-07-23
Donald Trump,1.0,2019-07-19
Donald Trump,1.0,2019-07-17
Donald Trump,5.0,2019-07-16
Donald Trump,1.0,2019-07-16
Donald Trump,1.0,2019-07-15
Joe Biden,4.0,2019-07-11
Donald Trump,2.0,2019-07-09
Donald Trump,4.0,2019-07-02
Donald Trump,1.0,2019-07-01
Joe Biden,2.0,2019-06-28
Donald Trump,0.0,2019-06-24
Donald Trump,2.0,2019-06-24
Donald Trump,1.0,2019-06-21
Donald Trump,2.0,2019-06-20
Joe Biden,2.0,2019-06-19
Joe Biden,4.0,2019-06-14
Donald Trump,3.0,2019-06-06
Joe Biden,4.0,2019-06-05
Donald Trump,1.0,2019-06-05
Donald Trump,0.0,2019-06-04
Joe Biden,3.0,2019-05-30
Donald Trump,4.0,2019-05-24
Donald Trump,2.0,2019-05-22
Donald Trump,1.0,2019-05-22
Donald Trump,2.0,2019-05-21
Donald Trump,1.0,2019-05-21
Donald Trump,1.0,2019-05-16
Donald Trump,1.0,2019-05-14
Donald Trump,2.0,2019-05-09
Joe Biden,5.0,2019-05-08
Joe Biden,1.0,2019-05-06
Donald Trump,5.0,2019-05-02
Donald Trump,1.0,2019-04-30
Donald Trump,2.0,2019-04-30
Donald Trump,0.0,2019-04-29
Donald Trump,1.0,2019-04-29
Donald Trump,0.0,2019-04-23
Donald Trump,5.0,2019-04-20
Joe Biden,4.0,2019-04-16
Donald Trump,0.0,2019-04-08
Donald Trump,0.0,2019-04-04
Donald Trump,1.0,2019-04-03
Donald Trump,2.0,2019-04-03
Donald Trump,1.0,2019-03-28
Joe Biden,2.0,2019-03-26
Donald Trump,0.0,2019-03-08
Donald Trump,1.0,2019-02-28
Donald Trump,0.0,2019-02-25
Donald Trump,3.0,2019-02-25
Joe Biden,3.0,2019-02-22
Donald Trump,1.0,2019-02-20
Donald Trump,2.0,2019-02-14
Donald Trump,1.0,2019-02-12
Donald Trump,1.0,2019-02-08
Donald Trump,2.0,2019-02-07
Donald Trump,3.0,2019-02-07
Joe Biden,3.0,2019-02-04
Donald Trump,1.0,2019-01-28
Donald Trump,1.0,2019-01-28
Donald Trump,3.0,2019-01-25
Donald Trump,1.0,2019-01-11
Donald Trump,1.0,2019-01-10
Donald Trump,1.0,2019-01-09
Donald Trump,2.0,2019-01-09
Donald Trump,1.0,2019-01-09
Donald Trump,0.0,2019-01-09
Donald Trump,1.0,2019-01-04
Donald Trump,0.0,2018-12-27
Donald Trump,1.0,2018-12-21
Donald Trump,0.0,2018-12-19
Donald Trump,1.0,2018-12-05
Donald Trump,1.0,2018-11-29
Donald Trump,3.0,2018-11-26
Donald Trump,0.0,2018-11-16
Donald Trump,2.0,2018-11-15
Donald Trump,1.0,2018-11-12
Donald Trump,1.0,2018-11-08
Donald Trump,3.0,2018-11-08
Donald Trump,1.0,2018-11-02
Donald Trump,0.0,2018-11-01
Donald Trump,1.0,2018-11-01
Donald Trump,5.0,2018-11-01
Donald Trump,1.0,2018-10-31
Donald Trump,1.0,2018-10-30
Donald Trump,1.0,2018-10-29
Donald Trump,2.0,2018-10-25
Donald Trump,1.0,2018-10-25
Donald Trump,3.0,2018-10-24
Donald Trump,0.0,2018-10-24
Donald Trump,0.0,2018-10-23
Donald Trump,0.0,2018-10-23
Donald Trump,5.0,2018-10-23
Donald Trump,0.0,2018-10-22
Donald Trump,3.0,2018-10-18
Donald Trump,1.0,2018-10-08
Donald Trump,0.0,2018-10-05
Donald Trump,3.0,2018-10-04
Donald Trump,1.0,2018-10-04
Donald Trump,4.0,2018-10-04
Donald Trump,1.0,2018-10-02
Donald Trump,4.0,2018-10-01
Donald Trump,4.0,2018-09-24
Donald Trump,1.0,2018-09-24
Donald Trump,1.0,2018-09-20
Donald Trump,1.0,2018-09-18
Donald Trump,3.0,2018-09-13
Donald Trump,4.0,2018-09-07
Donald Trump,1.0,2018-09-06
Donald Trump,1.0,2018-09-05
Donald Trump,2.0,2018-09-04
Donald Trump,2.0,2018-08-31
Donald Trump,1.0,2018-08-29
Donald Trump,2.0,2018-08-24
Donald Trump,2.0,2018-08-23
Donald Trump,1.0,2018-08-14
Donald Trump,2.0,2018-08-13
Donald Trump,1.0,2018-08-06
Donald Trump,1.0,2018-08-02
Donald Trump,2.0,2018-07-31
Donald Trump,1.0,2018-07-30
Donald Trump,2.0,2018-07-24
Donald Trump,1.0,2018-07-23
Donald Trump,1.0,2018-07-17
Donald Trump,1.0,2018-07-16
Donald Trump,2.0,2018-07-12
Donald Trump,1.0,2018-07-11
Donald Trump,1.0,2018-07-09
Donald Trump,0.0,2018-07-03
Donald Trump,1.0,2018-07-02
Donald Trump,1.0,2018-07-02
Donald Trump,0.0,2018-06-29
Donald Trump,2.0,2018-06-26
Donald Trump,4.0,2018-06-21
Donald Trump,,2018-06-21
Donald Trump,1.0,2018-06-18
Donald Trump,2.0,2018-06-13
Donald Trump,4.0,2018-06-13
Donald Trump,4.0,2018-06-11
Donald Trump,0.0,2018-06-07
Donald Trump,1.0,2018-06-05
Donald Trump,4.0,2018-06-04
Donald Trump,1.0,2018-05-31
Donald Trump,1.0,2018-05-30
Donald Trump,0.0,2018-05-29
Donald Trump,1.0,2018-05-29
Donald Trump,5.0,2018-05-29
Donald Trump,1.0,2018-05-24
Donald Trump,5.0,2018-05-24
Donald Trump,1.0,2018-05-23
Donald Trump,3.0,2018-05-23
Donald Trump,2.0,2018-05-15
Donald Trump,4.0,2018-05-15
Donald Trump,1.0,2018-05-11
Donald Trump,0.0,2018-05-10
Donald Trump,2.0,2018-05-07
Donald Trump,1.0,2018-05-02
Donald Trump,3.0,2018-05-01
Donald Trump,3.0,2018-04-27
Donald Trump,4.0,2018-04-26
Donald Trump,1.0,2018-04-22
Donald Trump,0.0,2018-04-20
Donald Trump,3.0,2018-04-19
Donald Trump,2.0,2018-04-10
Donald Trump,2.0,2018-04-10
Donald Trump,4.0,2018-04-09
Donald Trump,2.0,2018-04-09
Donald Trump,0.0,2018-04-06
Donald Trump,2.0,2018-04-04
Donald Trump,3.0,2018-04-02
Donald Trump,2.0,2018-04-02
Donald Trump,1.0,2018-04-02
Donald Trump,2.0,2018-03-28
Donald Trump,1.0,2018-03-22
Donald Trump,3.0,2018-03-21
Donald Trump,3.0,2018-03-16
Donald Trump,1.0,2018-03-15
Donald Trump,2.0,2018-03-15
Donald Trump,5.0,2018-03-14
Donald Trump,0.0,2018-03-13
Donald Trump,4.0,2018-03-13
Donald Trump,3.0,2018-03-12
Donald Trump,3.0,2018-03-09
Donald Trump,1.0,2018-03-09
Donald Trump,1.0,2018-03-07
Donald Trump,5.0,2018-03-06
Donald Trump,1.0,2018-03-01
Donald Trump,2.0,2018-02-20
Donald Trump,0.0,2018-02-19
Donald Trump,2.0,2018-02-08
Donald Trump,3.0,2018-02-07
Donald Trump,0.0,2018-02-06
Donald Trump,2.0,2018-02-02
Donald Trump,3.0,2018-02-02
Donald Trump,2.0,2018-02-01
Donald Trump,3.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,4.0,2018-01-31
Donald Trump,5.0,2018-01-31
Donald Trump,3.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,1.0,2018-01-31
Donald Trump,4.0,2018-01-31
Donald Trump,1.0,2018-01-31
Donald Trump,3.0,2018-01-31
Donald Trump,0.0,2018-01-29
Donald Trump,1.0,2018-01-24
Donald Trump,2.0,2018-01-24
Donald Trump,3.0,2018-01-23
Donald Trump,3.0,2018-01-18
Donald Trump,2.0,2018-01-17
Donald Trump,2.0,2018-01-12
Donald Trump,2.0,2018-01-09
Donald Trump,5.0,2018-01-08
Donald Trump,4.0,2018-01-08
Donald Trump,1.0,2018-01-05
Donald Trump,3.0,2018-01-05
Donald Trump,1.0,2018-01-04
Donald Trump,2.0,2018-01-03
Donald Trump,1.0,2018-01-03
Donald Trump,1.0,2018-01-02
Donald Trump,1.0,2017-12-29
Donald Trump,1.0,2017-12-21
Donald Trump,0.0,2017-12-20
Donald Trump,1.0,2017-12-15
Donald Trump,1.0,2017-12-11
Donald Trump,4.0,2017-12-07
Donald Trump,4.0,2017-12-06
Donald Trump,1.0,2017-12-05
Donald Trump,1.0,2017-11-30
Donald Trump,0.0,2017-11-30
Donald Trump,0.0,2017-11-29
Donald Trump,2.0,2017-11-28
Donald Trump,3.0,2017-11-14
Donald Trump,0.0,2017-11-07
Donald Trump,4.0,2017-11-06
Donald Trump,2.0,2017-11-01
Donald Trump,2.0,2017-10-30
Donald Trump,3.0,2017-10-26
Donald Trump,1.0,2017-10-26
Donald Trump,3.0,2017-10-24
Donald Trump,1.0,2017-10-23
Donald Trump,1.0,2017-10-18
Donald Trump,2.0,2017-10-18
Donald Trump,4.0,2017-10-12
Donald Trump,1.0,2017-10-12
Donald Trump,1.0,2017-10-12
Donald Trump,2.0,2017-10-11
Donald Trump,2.0,2017-10-02
Donald Trump,1.0,2017-09-28
Donald Trump,0.0,2017-09-28
Donald Trump,1.0,2017-09-28
Donald Trump,4.0,2017-09-27
Donald Trump,2.0,2017-09-24
Donald Trump,2.0,2017-09-21
Donald Trump,3.0,2017-09-20
Donald Trump,3.0,2017-09-19
Donald Trump,3.0,2017-09-18
